id, jobId, staffId, status, active, jobDate, offeredDate
"59c0c7d2c7685a001991e38d", "59bf7658594d35001a02059f", "59a6f21514154300192fd460", "skipped", false, "2017-09-22", ""
"59c0c7d5c7685a001991e38e", "59b6919c99ad870018545dc9", "59a6f21514154300192fd460", "skipped", false, "2017-09-23", ""
"59c0c7f9594d35001a0205ad", "59bfe930c7685a001991e378", "59a6f21514154300192fd460", "skipped", false, "2017-10-04", ""
"59c0c808c7685a001991e38f", "59b69252abb93f00187ab89a", "59a6f21514154300192fd460", "skipped", false, "2017-09-24", ""
"59c0c80ac7685a001991e390", "59b692fc99ad870018545dca", "59a6f21514154300192fd460", "skipped", false, "2017-09-24", ""
"59c0c80dc7685a001991e391", "59bfe84d594d35001a0205a3", "59a6f21514154300192fd460", "skipped", false, "2017-09-25", ""
"59c0c810c7685a001991e392", "59bfe7d1594d35001a0205a2", "59a6f21514154300192fd460", "skipped", false, "2017-09-26", ""
"59c0c812c7685a001991e393", "59bfeb24594d35001a0205a8", "59a6f21514154300192fd460", "skipped", false, "2017-09-26", ""
"59c0c815c7685a001991e394", "59b6a06aabb93f00187ab89c", "59a6f21514154300192fd460", "skipped", false, "2017-09-27", ""
"59c0c817c7685a001991e395", "59bfe9ae594d35001a0205a7", "59a6f21514154300192fd460", "skipped", false, "2017-09-27", ""
"59c0c81ac7685a001991e396", "59bfe878c7685a001991e376", "59a6f21514154300192fd460", "skipped", false, "2017-09-29", ""
"59c0c81cc7685a001991e397", "59bfe892594d35001a0205a4", "59a6f21514154300192fd460", "skipped", false, "2017-09-29", ""
"59c0c81fc7685a001991e398", "59b6a097abb93f00187ab89d", "59a6f21514154300192fd460", "skipped", false, "2017-09-30", ""
"59c0c821c7685a001991e399", "59b6a0b8abb93f00187ab89e", "59a6f21514154300192fd460", "skipped", false, "2017-09-30", ""
"59c0c824c7685a001991e39a", "59bfed0d594d35001a0205a9", "59a6f21514154300192fd460", "skipped", false, "2017-09-30", ""
"59c0c826c7685a001991e39b", "59bfe8c3c7685a001991e377", "59a6f21514154300192fd460", "skipped", false, "2017-10-02", ""
"59c0c829c7685a001991e39c", "59bfe8e1594d35001a0205a5", "59a6f21514154300192fd460", "skipped", false, "2017-10-02", ""
"59c0c82bc7685a001991e39d", "59bfea4ac7685a001991e37a", "59a6f21514154300192fd460", "skipped", false, "2017-10-03", ""
"59c11484594d35001a0205ae", "59bfe8c3c7685a001991e377", "59b3843599ad870018545dc1", "skipped", false, "2017-10-02", ""
"59c11487594d35001a0205af", "59bfea4ac7685a001991e37a", "59b3843599ad870018545dc1", "skipped", false, "2017-10-03", ""
"59c11489594d35001a0205b0", "59bfe930c7685a001991e378", "59b3843599ad870018545dc1", "skipped", false, "2017-10-04", ""
"59c11650594d35001a0205b1", "59b7bfedabb93f00187ab8a9", "59b1936899ad870018545dab", "skipped", false, "2017-09-22", ""
"59c116c3594d35001a0205b2", "59bfe7d1594d35001a0205a2", "59b1936899ad870018545dab", "skipped", false, "2017-09-26", ""
"59c116c8594d35001a0205b3", "59bfeb24594d35001a0205a8", "59b1936899ad870018545dab", "skipped", false, "2017-09-26", ""
"59c116cc594d35001a0205b4", "59b6a06aabb93f00187ab89c", "59b1936899ad870018545dab", "skipped", false, "2017-09-27", ""
"59c116d7594d35001a0205b5", "59b6a097abb93f00187ab89d", "59b1936899ad870018545dab", "skipped", false, "2017-09-30", ""
"59c116d9594d35001a0205b6", "59b6a0b8abb93f00187ab89e", "59b1936899ad870018545dab", "skipped", false, "2017-09-30", ""
"59c116db594d35001a0205b7", "59bfed0d594d35001a0205a9", "59b1936899ad870018545dab", "skipped", false, "2017-09-30", ""
"59c116e4594d35001a0205b8", "59bfe8c3c7685a001991e377", "59b1936899ad870018545dab", "skipped", false, "2017-10-02", ""
"59c116f5594d35001a0205b9", "59bfea4ac7685a001991e37a", "59b1936899ad870018545dab", "skipped", false, "2017-10-03", ""
"59c116f7594d35001a0205ba", "59bfe930c7685a001991e378", "59b1936899ad870018545dab", "skipped", false, "2017-10-04", ""
"59c116f9594d35001a0205bb", "59bfe892594d35001a0205a4", "59b1936899ad870018545dab", "skipped", false, "2017-09-29", ""
"59c116fb594d35001a0205bc", "59bfe84d594d35001a0205a3", "59b1936899ad870018545dab", "skipped", false, "2017-09-25", ""
"59c116fd594d35001a0205bd", "59b6a048abb93f00187ab89b", "59b1936899ad870018545dab", "skipped", false, "2017-09-26", ""
"59c116ff594d35001a0205be", "59b692fc99ad870018545dca", "59b1936899ad870018545dab", "skipped", false, "2017-09-24", ""
"59c11701594d35001a0205bf", "59b69252abb93f00187ab89a", "59b1936899ad870018545dab", "skipped", false, "2017-09-24", ""
"59c11705594d35001a0205c0", "59b6919c99ad870018545dc9", "59b1936899ad870018545dab", "skipped", false, "2017-09-23", ""
"59c1233d594d35001a0205c2", "59bf7639c7685a001991e373", "59baf174abb93f00187ab8c4", "skipped", false, "2017-09-21", ""
"59c14efcc7685a001991e3a3", "59c13306c7685a001991e3a2", "59b7b93eabb93f00187ab8a6", "skipped", false, "2017-09-20", ""
"59c14f02594d35001a0205c3", "59bf7639c7685a001991e373", "59b7b93eabb93f00187ab8a6", "skipped", false, "2017-09-21", ""
"59c14f08c7685a001991e3a4", "59b7bfedabb93f00187ab8a9", "59b7b93eabb93f00187ab8a6", "skipped", false, "2017-09-22", ""
"59c214b1c7685a001991e3a7", "59c13306c7685a001991e3a2", "59a6f21514154300192fd460", "skipped", false, "2017-09-20", ""
"59c23911594d35001a0205c6", "59b6919c99ad870018545dc9", "59b2bd0f99ad870018545dbf", "confirmed", true, "2017-09-23", "2017-09-20"
"59c2393ac7685a001991e3a8", "59bfed0d594d35001a0205a9", "59b2bd0f99ad870018545dbf", "confirmed", true, "2017-09-30", "2017-09-20"
"59c23981594d35001a0205c7", "59bfea4ac7685a001991e37a", "59b2bd0f99ad870018545dbf", "confirmed", true, "2017-10-03", "2017-09-20"
"59c27b79c7685a001991e3a9", "59bfea4ac7685a001991e37a", "59b2868fabb93f00187ab87a", "skipped", false, "2017-10-03", ""
"59c27b7ec7685a001991e3aa", "59bfe8e1594d35001a0205a5", "59b2868fabb93f00187ab87a", "skipped", false, "2017-10-02", ""
"59c27b88c7685a001991e3ab", "59bfe8c3c7685a001991e377", "59b2868fabb93f00187ab87a", "skipped", false, "2017-10-02", ""
"59c27b9ec7685a001991e3ac", "59bfe930c7685a001991e378", "59b2868fabb93f00187ab87a", "skipped", false, "2017-10-04", ""
"59c27ba3c7685a001991e3ad", "59bfed0d594d35001a0205a9", "59b2868fabb93f00187ab87a", "skipped", false, "2017-09-30", ""
"59c27ba9c7685a001991e3ae", "59b6a0b8abb93f00187ab89e", "59b2868fabb93f00187ab87a", "skipped", false, "2017-09-30", ""
"59c27bb1c7685a001991e3af", "59b6a097abb93f00187ab89d", "59b2868fabb93f00187ab87a", "skipped", false, "2017-09-30", ""
"59c27bb7c7685a001991e3b0", "59bfeb24594d35001a0205a8", "59b2868fabb93f00187ab87a", "skipped", false, "2017-09-26", ""
